iter	Passed	Remaining
0	0	71
1	1	65
2	1	61
3	2	56
4	2	55
5	3	56
6	4	55
7	5	58
8	5	58
9	6	59
10	7	59
11	8	59
12	8	58
13	9	58
14	10	58
15	11	57
16	11	57
17	12	56
18	13	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	48
29	20	48
30	21	48
31	22	48
32	23	47
33	24	46
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	28
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	23
66	45	22
67	46	21
68	46	20
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
