iter	Passed	Remaining
0	145	144870
1	145	72770
2	146	48673
3	147	36635
4	147	29406
5	148	24591
6	149	21154
7	149	18567
8	150	16554
9	150	14938
10	151	13618
11	152	12519
12	152	11604
13	153	10814
14	154	10125
15	154	9525
16	155	8999
17	156	8527
18	156	8102
19	157	7719
20	158	7397
21	159	7081
22	160	6797
23	160	6536
24	161	6304
25	162	6079
26	162	5872
27	163	5679
28	164	5504
29	165	5338
30	165	5180
31	166	5031
32	166	4890
33	167	4761
34	168	4642
35	169	4525
36	169	4414
37	170	4310
38	170	4209
39	171	4114
40	172	4023
41	172	3943
42	173	3865
43	174	3789
44	175	3716
45	175	3647
46	176	3580
47	177	3516
48	178	3455
49	178	3397
50	179	3338
51	180	3284
52	180	3230
53	181	3179
54	182	3130
55	183	3089
56	183	3042
57	184	2999
58	185	2955
59	186	2915
60	186	2876
61	187	2838
62	188	2799
63	188	2761
64	189	2725
65	190	2691
66	191	2660
67	191	2627
68	192	2594
69	193	2565
70	193	2536
71	194	2508
72	195	2480
73	195	2451
74	196	2423
75	197	2395
76	197	2369
77	198	2348
78	199	2324
79	199	2299
80	200	2279
81	201	2258
82	202	2233
83	202	2212
84	203	2191
85	204	2170
86	204	2148
87	205	2129
88	206	2111
89	206	2092
90	207	2073
91	208	2056
92	208	2038
93	209	2020
94	210	2002
95	210	1985
96	211	1967
97	211	1950
98	212	1934
99	213	1921
100	214	1906
101	214	1891
102	215	1877
103	216	1863
104	217	1849
105	217	1835
106	218	1821
107	219	1808
108	219	1795
109	220	1783
110	221	1771
111	221	1759
112	222	1747
113	223	1734
114	223	1722
115	224	1711
116	225	1698
117	225	1688
118	226	1677
119	227	1666
120	227	1656
121	228	1645
122	229	1636
123	230	1626
124	230	1615
125	231	1606
126	232	1595
127	232	1584
128	233	1575
129	233	1565
130	234	1555
131	235	1545
132	235	1537
133	236	1529
134	237	1520
135	237	1511
136	238	1502
137	239	1493
138	239	1485
139	240	1478
140	241	1470
141	241	1461
142	242	1453
143	243	1445
144	243	1437
145	244	1430
146	245	1422
147	245	1414
148	246	1406
149	246	1399
150	247	1391
151	248	1384
152	248	1376
153	249	1369
154	249	1361
155	250	1355
156	251	1349
157	251	1342
158	252	1336
159	253	1329
160	253	1321
161	254	1316
162	255	1309
163	255	1303
164	256	1298
165	257	1292
166	257	1286
167	258	1281
168	259	1276
169	260	1271
170	261	1265
171	261	1259
172	262	1254
173	263	1248
174	263	1243
175	264	1237
176	264	1231
177	265	1226
178	266	1221
179	266	1215
180	267	1210
181	268	1205
182	268	1199
183	269	1194
184	269	1188
185	270	1185
186	271	1180
187	272	1175
188	273	1171
189	273	1167
190	274	1162
191	275	1157
192	275	1153
193	276	1149
194	277	1145
195	278	1140
196	278	1135
197	279	1131
198	280	1127
199	280	1123
200	281	1119
201	282	1114
202	283	1111
203	283	1107
204	284	1103
205	285	1099
206	285	1095
207	286	1091
208	287	1086
209	287	1083
210	288	1079
211	289	1075
212	290	1071
213	290	1067
214	291	1063
215	291	1059
216	292	1055
217	293	1051
218	293	1047
219	294	1043
220	294	1039
221	295	1036
222	296	1032
223	296	1028
224	297	1024
225	298	1021
226	299	1018
227	300	1017
228	301	1014
229	302	1011
230	303	1008
231	304	1006
232	304	1003
233	305	1000
234	306	997
235	307	994
236	308	991
237	308	987
238	309	984
239	309	981
240	310	978
241	311	975
242	312	972
243	312	969
244	313	966
245	314	963
246	315	960
247	315	958
248	316	955
249	317	952
250	318	950
251	319	947
252	320	945
253	320	942
254	321	940
255	322	937
256	323	934
257	323	931
258	324	928
259	325	925
260	326	923
261	326	920
262	327	918
263	328	915
264	328	912
265	329	909
266	330	906
267	330	903
268	331	899
269	331	896
270	332	893
271	332	891
272	333	889
273	334	886
274	335	883
275	335	881
276	336	878
277	337	875
278	337	873
279	338	870
280	339	867
281	339	864
282	340	862
283	340	859
284	341	857
285	342	855
286	343	853
287	344	850
288	344	848
289	345	845
290	346	843
291	346	840
292	347	838
293	348	835
294	348	833
295	349	831
296	350	829
297	350	826
298	351	824
299	352	821
300	352	819
301	353	816
302	354	814
303	354	812
304	355	810
305	356	808
306	357	806
307	357	804
308	358	802
309	359	799
310	360	797
311	360	795
312	361	793
313	362	791
314	362	789
315	363	787
316	364	785
317	365	783
318	365	780
319	366	778
320	367	776
321	367	773
322	368	771
323	368	769
324	369	767
325	370	765
326	370	762
327	371	761
328	372	759
329	372	757
330	373	755
331	374	753
332	374	751
333	375	748
334	376	746
335	376	744
336	377	742
337	378	740
338	379	739
339	379	737
340	380	735
341	381	733
342	381	731
343	382	729
344	383	727
345	384	726
346	385	724
347	385	723
348	386	721
349	387	719
350	388	718
351	389	716
352	390	715
353	390	713
354	391	711
355	392	709
356	392	707
357	393	705
358	394	704
359	395	702
360	395	700
361	396	699
362	397	697
363	398	695
364	398	693
365	399	692
366	400	690
367	400	688
368	401	687
369	402	685
370	403	683
371	403	681
372	404	680
373	405	678
374	406	676
375	406	675
376	407	673
377	408	671
378	408	669
379	409	668
380	410	666
381	410	664
382	411	663
383	412	661
384	413	660
385	413	658
386	414	656
387	415	654
388	415	653
389	416	651
390	417	649
391	418	648
392	418	646
393	419	645
394	420	643
395	421	642
396	421	640
397	422	639
398	423	637
399	424	636
400	424	634
401	425	633
402	426	631
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	619
410	431	618
411	432	617
412	433	615
413	433	613
414	434	612
415	434	610
416	435	609
417	436	607
418	436	605
419	437	604
420	438	602
421	438	600
422	439	599
423	440	597
424	440	596
425	441	594
426	442	593
427	442	591
428	443	590
429	444	589
430	445	587
431	445	585
432	446	584
433	447	583
434	447	581
435	448	580
436	449	578
437	449	577
438	450	575
439	451	574
440	451	572
441	452	570
442	452	569
443	453	567
444	454	566
445	455	565
446	455	564
447	456	562
448	457	561
449	458	559
450	458	558
451	459	556
452	459	555
453	460	553
454	461	552
455	461	551
456	462	549
457	463	548
458	464	547
459	464	545
460	465	544
461	466	543
462	467	541
463	467	540
464	468	538
465	469	537
466	470	536
467	471	535
468	471	534
469	472	532
470	473	531
471	474	530
472	474	529
473	475	527
474	476	526
475	476	524
476	477	523
477	478	522
478	478	520
479	479	519
480	480	518
481	480	516
482	481	515
483	482	514
484	483	513
485	483	511
486	484	510
487	485	509
488	486	508
489	486	506
490	487	505
491	488	504
492	488	502
493	489	501
494	490	500
495	491	498
496	491	497
497	492	496
498	493	495
499	493	493
500	494	492
501	495	491
502	495	490
503	496	488
504	497	487
505	497	486
506	498	484
507	499	483
508	499	482
509	500	480
510	501	479
511	501	478
512	502	477
513	503	475
514	503	474
515	504	473
516	505	471
517	505	470
518	506	469
519	506	467
520	507	466
521	508	465
522	509	464
523	509	462
524	510	461
525	511	460
526	511	459
527	512	458
528	513	456
529	513	455
530	514	454
531	515	453
532	516	452
533	516	451
534	517	449
535	518	448
536	519	447
537	519	446
538	520	445
539	521	444
540	522	443
541	523	442
542	524	441
543	524	440
544	525	438
545	526	437
546	527	436
547	528	435
548	528	434
549	529	433
550	530	432
551	531	431
552	531	429
553	532	428
554	533	427
555	533	426
556	534	425
557	535	424
558	536	423
559	536	421
560	537	420
561	538	419
562	539	418
563	540	417
564	540	416
565	541	415
566	542	414
567	543	413
568	543	411
569	544	410
570	545	409
571	545	408
572	546	407
573	547	406
574	548	405
575	548	403
576	549	402
577	550	401
578	550	400
579	551	399
580	551	398
581	552	396
582	553	396
583	554	394
584	555	393
585	555	392
586	556	391
587	557	390
588	558	389
589	558	388
590	559	387
591	560	386
592	560	384
593	561	383
594	562	382
595	562	381
596	563	380
597	564	379
598	565	378
599	565	377
600	566	376
601	566	374
602	567	373
603	568	372
604	568	371
605	569	370
606	570	369
607	571	368
608	571	367
609	572	366
610	573	364
611	573	363
612	574	362
613	574	361
614	575	360
615	576	359
616	577	358
617	577	357
618	578	356
619	579	355
620	580	354
621	580	352
622	581	351
623	582	350
624	582	349
625	583	348
626	584	347
627	585	346
628	585	345
629	586	344
630	587	343
631	588	342
632	588	341
633	589	340
634	590	339
635	590	338
636	591	337
637	592	336
638	593	335
639	593	334
